query,similar,response
是的[SEP]另外一个是附加的赠品,嗯，没有启动相机的时候按一下是音量减，我关闭相机[姓名x]吧，也许真是手机系统比较新有些冲突[SEP]麻烦跟那边的客服反馈一下，尽快优化修复冲突,好的[SEP]亲爱的，我这边联系商家在线客服，表示可能是系统有些冲突的
是的[SEP]另外一个是附加的赠品,女儿说西门子质量在，我说[姓名x]好，质量也是一流的，所以碰到这问题，二扇门都坏的，里面水，还要淌到地上都是水，很心痛呀，只有[数字x]个月啊。[SEP]好的，谢谢，只有这样了，希望换的一只不是返修机。,那边帮您联系了，我这边也帮您升级一下专员处理亲
谢谢您的服务,好!知道了，那就辛苦你们了![SEP]暂时就这个问题!!有劳费心了!!谢谢!!,没有其他问题妹子就要和您说再见了哦 [SEP]感谢您对京东的支持，祝您生活愉快，再见!
谢谢您的服务,好!知道了，那就辛苦你们了![SEP]暂时就这个问题!!有劳费心了!!谢谢!!,没有其他问题妹子就要和您说再见了哦 [SEP]感谢您对京东的支持，祝您生活愉快，再见!
谢谢您的服务,是的，我担心如果再有问题，换货很麻烦，也辛苦你们[SEP]那行，谢谢你,亲爱的，给您换新的商品保证是全新正品呢~
谢谢您的服务,我目前应该如何操作?谢谢[SEP]好的，我需要等待答复是吗,是的呢，还请您保持手机畅通，会有专员给您来电处理相关问题。
手机与配件,这个件帮我跟一下送到邮局附近，快递太远不愿意送，客户说去年买了肚脐贴代收货款也是送到那里的[SEP]是的[SEP]麻烦您跟快递那边沟通下咯,嗯嗯[SEP]好的呢[SEP]这边小红人联系站点再次给客户配送，还请客户保持手机畅通哦 
手机与配件,我有问题哈，和你们的快递师傅再三强调一定要送到物管的快递聚点[SEP]为啥要送到外面的小超市代收?[SEP]不安全不说我还要另外付费[SEP]我知道快递不容易，我理解但不代表能随便这么搞吧,您不要着急
手机与配件,是这样，我的配送地址是寝室，以往每次快递运输也是要我自提的[SEP]能麻烦你叮嘱一下送到寝室吗?[SEP]您好?,小妹正在火速为您查询，还请您稍等一下呢，谢谢 [SEP]快递运输[SEP]亲爱的查看您的这个订单的商品不是自提的呢
手机与配件,是的，姓宋的师傅[SEP]他总给我家送快递[SEP]虽然枕套价值不高，但老人很着急很愧疚，所以麻烦你们尽量帮我找找。,北京王府井站
请问哪款电话手表能用4G电信卡，只需打电话功能和定位功能，不需要视频和其它功能的。,你们还有自提选择[姓名x]吗?[SEP]就是因为你们送货上门才买了两箱牛奶啊[SEP]生理期不想动了……我怎么可能自己选择自提……况且你们自提点离我住的地方又远[SEP]要不是身体不舒服我就不给你们添麻烦问这些了,稍等我们这边问下站点
请问哪款电话手表能用4G电信卡，只需打电话功能和定位功能，不需要视频和其它功能的。,实体货物是正确的。但是订单编码等问题，快递员把东西拿走了。但是我要用，所以请弄对了后，今天补发过来、我这边可以等[SEP]出问题的，就是货物上面贴的那个标签扫码条[SEP]他说这个纸条，和他手持的机器，扫不出来。不匹配[SEP]客服小姐姐，明白了吗, 好的
请问哪款电话手表能用4G电信卡，只需打电话功能和定位功能，不需要视频和其它功能的。,这个件帮我跟一下送到邮局附近，快递太远不愿意送，客户说去年买了肚脐贴代收货款也是送到那里的[SEP]是的[SEP]麻烦您跟快递那边沟通下咯,嗯嗯[SEP]好的呢[SEP]这边小红人联系站点再次给客户配送，还请客户保持手机畅通哦 
请问哪款电话手表能用4G电信卡，只需打电话功能和定位功能，不需要视频和其它功能的。,我自己能查询进度吗?[SEP]老妹你都不知道我拿到耳机发现什么配件都没有的时候整个世界都黑了老伤心了[SEP]购物体验感很差特地选的京东直营店东西有些瑕疵可以理解但售后至少要有保证的是吧[SEP]?,给您带来不便，还请您见谅~
我打算自用。[SEP]不想要视频功能，太耗电了。,你好，之前买的大疆这款无人机，某次升级固件后正常使用中云台大概率出现自检撞击上边的塑料钩，之前电话通知走大疆官网寄修，称不在质保范围，但是看不到详细的检测报告。[SEP]飞机机身已经发大疆那边了那边要收费这个合理吗,您好，请问有什么可以帮您的吗?  [SEP]请您提供下订单号或者服务单号，帮您查看一下哦， 
我打算自用。[SEP]不想要视频功能，太耗电了。,你好，之前买的大疆这款无人机，某次升级固件后正常使用中云台大概率出现自检撞击上边的塑料钩，之前电话通知走大疆官网寄修，称不在质保范围，但是看不到详细的检测报告。[SEP]飞机机身已经发大疆那边了那边要收费这个合理吗,您好，请问有什么可以帮您的吗?  [SEP]请您提供下订单号或者服务单号，帮您查看一下哦， 
我打算自用。[SEP]不想要视频功能，太耗电了。,还有麻烦你说一声相机主要部件，外观，等等均无磨损，相机快门产品序列号等等数字信息我这都有备注，及照片，为了引起不必要的麻烦。请你们维修完送回的时候不要那别人的相机顶替[SEP]因为你们这个现象朋友碰到过一次了,这边会服务单留言
我打算自用。[SEP]不想要视频功能，太耗电了。,曾经有个美国高级智囊布热津斯基认为，没有任何人能改变未来的“二八现象”。我们唯一能做的就是给这[数字x]%的人口，塞上一个「奶嘴」。让他们安于为他们量身订造的娱乐八卦、低成本、麻醉的信息中，让他们慢慢丧失理想和热情，以及思考的能力。[SEP]地址写错了,您好，有什么问题我可以帮您处理或者解决的呢? 
关键孩子要拿起耍，我想要一个定位功能和打电话的功能就够了。[SEP]只有这一款啊？[SEP][数字x]有活动吗？,🤘 ,  
关键孩子要拿起耍，我想要一个定位功能和打电话的功能就够了。[SEP]只有这一款啊？[SEP][数字x]有活动吗？,🤘 ,  
关键孩子要拿起耍，我想要一个定位功能和打电话的功能就够了。[SEP]只有这一款啊？[SEP][数字x]有活动吗？,😨😨,没有的哦
关键孩子要拿起耍，我想要一个定位功能和打电话的功能就够了。[SEP]只有这一款啊？[SEP][数字x]有活动吗？,惆怅,感谢您对京东的支持，祝您生活愉快，再见![SEP]还辛苦您给小妹打个评价呢~点击表情栏旁边的“+”哦。
我定的体温计，由于，物流，配送不到位置，想退货退款,好吧，谢谢了，第一次前五分钟强东西，没经验，呵呵[SEP]多一百店铺有送的东西，也还可以[SEP]不好意思，还有个问题，如果活动中写的订单完成后与店铺客服联系赠品，一般是怎么操作,您好，非常抱歉这个不支持的哦
我定的体温计，由于，物流，配送不到位置，想退货退款,没事了。谢谢。。。另外这个拒签原因很简单。我是参加了京东活动。[数字x]-[数字x]的。凑单买的。但自营店的颈靠无法安装到我的车上。他们页面也都没有提示。所以我只能全退了买别的。。。[SEP]恩。希望您尽快处理吧。。。[SEP]没事了，谢谢。。。,请问还有什么需要为您效劳的呢
我定的体温计，由于，物流，配送不到位置，想退货退款,没有了，配送员服务态度很好，只是装商品的箱子好臭。[SEP]希望不要给快递小哥带来麻烦[SEP]因为天气好热，他还给我送到家里了，实在抱歉,亲亲这边我们是为您服务给您添麻烦我们很抱歉
我定的体温计，由于，物流，配送不到位置，想退货退款,您好[SEP]您好问您一下咱们京东每次登陆的时候有没有类似QQ安全中心那种功能就是每次登陆需要一次动态验证码的那种功能,亲，暂时没有的呢
[数字x],他在我们店铺下的这个订单，数量比较多，因为之前有遇到过这样的打假人，所以比较担心[SEP]钻石会员我知道啊[SEP]我有联系顾客，他的地址是公司地址，我问他要不要发票，他说要，但是现在还没有给我发票抬头等信息[SEP]主要就是担心打假[SEP]特别揪心,我们是可以帮您查看顾客等级哦[SEP]钻石用户
[数字x],他在我们店铺下的这个订单，数量比较多，因为之前有遇到过这样的打假人，所以比较担心[SEP]钻石会员我知道啊[SEP]我有联系顾客，他的地址是公司地址，我问他要不要发票，他说要，但是现在还没有给我发票抬头等信息[SEP]主要就是担心打假[SEP]特别揪心,我们是可以帮您查看顾客等级哦[SEP]钻石用户
[数字x],单位办公室用的[SEP]没有了，只是问一下发票的问题，因为经常是收到宝贝很久以后也没收到发票,感谢您对京东的支持，祝您生活愉快，再见!  
[数字x],单位办公室用的[SEP]没有了，只是问一下发票的问题，因为经常是收到宝贝很久以后也没收到发票,感谢您对京东的支持，祝您生活愉快，再见!  
问题是，上面没有，其他选项，我选择的是商品没货,😨😨,没有的哦
问题是，上面没有，其他选项，我选择的是商品没货,……ԅ(¯ㅂ¯ԅ),厂家还没回复您亲稍等
问题是，上面没有，其他选项，我选择的是商品没货,……ԅ(¯ㅂ¯ԅ),厂家还没回复您亲稍等
问题是，上面没有，其他选项，我选择的是商品没货,〈???,取回核实谢谢[SEP]请问还有其他可以帮到您的吗?
问题，病人离不开人，配送非要我自己去领,好吧，谢谢了，第一次前五分钟强东西，没经验，呵呵[SEP]多一百店铺有送的东西，也还可以[SEP]不好意思，还有个问题，如果活动中写的订单完成后与店铺客服联系赠品，一般是怎么操作,您好，非常抱歉这个不支持的哦
问题，病人离不开人，配送非要我自己去领,如果有某本书还没有采购到的话，可以先帮忙发剩余的么?因为那个增长黑客，我们下周三要用，搞活动用来着[SEP]求分拆，多谢多谢,[数字x]腾讯产品法[SEP]，不需要再添加任何费用呢~[SEP][数字x]-1[数字x]号之后有货[SEP]这个书
问题，病人离不开人，配送非要我自己去领,亲，你好，我购买的气球，跟一次性的碗筷，到[姓名x]这边的时候帮忙提前安排送货，需要用!谢谢![SEP]家里都有人在的!,您好 请问有什么可以为您效劳的吗 
问题，病人离不开人，配送非要我自己去领,亲，你好，我购买的气球，跟一次性的碗筷，到[姓名x]这边的时候帮忙提前安排送货，需要用!谢谢![SEP]家里都有人在的!,您好 请问有什么可以为您效劳的吗 
为什么我这个有赠品[SEP]地址错了[SEP]重新下了个单就没有了呢？,感谢你们，要不真拿他们一点辙没有，非告诉我果子长[姓名x]了是水分流失，正常的，可以吃。崩溃。[SEP]是的，让我重新再申请一遍。,真的很抱歉，亲爱的，给您带来不愉快的购物体验[SEP]商家这边给您协商处理了吗
为什么我这个有赠品[SEP]地址错了[SEP]重新下了个单就没有了呢？,感谢你们，要不真拿他们一点辙没有，非告诉我果子长[姓名x]了是水分流失，正常的，可以吃。崩溃。[SEP]是的，让我重新再申请一遍。,真的很抱歉，亲爱的，给您带来不愉快的购物体验[SEP]商家这边给您协商处理了吗
为什么我这个有赠品[SEP]地址错了[SEP]重新下了个单就没有了呢？,当时我手上有茅台真酒，和平[地址x]。只是想告诉京东，这么大的企业不要赚这种昧心钱、如果不是京东的问题，一定要查出根源，给社会一个交代，恢复大家的信任。[SEP]我现在就天天关注这个事情的进展!, [SEP]谢谢亲亲的反馈和意见呢，要是京东出现让客户不舒心的地方，妹子再次致歉您呢[SEP]咱们也在改善哈[SEP]亲亲
为什么我这个有赠品[SEP]地址错了[SEP]重新下了个单就没有了呢？,当时我手上有茅台真酒，和平[地址x]。只是想告诉京东，这么大的企业不要赚这种昧心钱、如果不是京东的问题，一定要查出根源，给社会一个交代，恢复大家的信任。[SEP]我现在就天天关注这个事情的进展!, [SEP]谢谢亲亲的反馈和意见呢，要是京东出现让客户不舒心的地方，妹子再次致歉您呢[SEP]咱们也在改善哈[SEP]亲亲
那我重新下单就没有了吗？,让我们交个钱，拖三天，钱交了，还再拖我们三天[SEP]我们这边都没法操作[SEP]这样本来就是[数字x]临近，很多东西要做手[SEP]因为这个类目的问题，我们详情页什么都没办法整改,好的[SEP]跟招商说过了[SEP]请您耐心等待哦[SEP]已添加[SEP]那请问还有什么可以帮助您的嘛~
那我重新下单就没有了吗？,我看到评论区里，很多类似的情况，这家提供商产品出货时候不质检吗?就冲着自营的牌子来了。。结果很失望。[SEP][链接x][SEP]很多人因为害羞，无法退换货，但是对京东的评价会很不好的。。,您好[SEP]您可以先联系下咱们的产品专员[SEP]先帮您查看下[SEP]是否是商品的问题
那我重新下单就没有了吗？,好的谢谢!这个商品因为大小不合适。当时才申请的退货[SEP]我在学校边上是做小生意的，本来那厮想买一个做汉堡的机子。太小了，没法用。就申请退货了。现在这款机子他们商家已经收到三天了。[SEP]语音打字出现错误字，请见谅。,亲爱的[SEP]这边看到已经申请了的呀[SEP] 
那我重新下单就没有了吗？,别提了，非自营的那个，椅子价格挺高，接到一看，做工太粗糙了，椅子表明居然有个开皮了一个大口子[SEP]好，拜托了，希望明天收到货物后，不会因为质量问题反复的打扰你,商家肯定会注意的哦我们也会注意的哦 
不能重新送一个吗？,别对师傅有处罚[SEP]解决了就好[SEP]是个误会，师傅这边跟我父亲说了改日找人过来是我没说清楚，我把退款撤销，不要对师傅有影响就行,[订单x]
不能重新送一个吗？,那要确保没有问题了才寄过来给我吧，主板已经两次返修了，这个很浪费时间，希望能有个明确的答复，谢谢[SEP]希望你能帮我跟进一下，谢谢你,换货处理周期，自接收到问题商品之日起确认问题后[数字x]日之内为您处理完成，这是一个大概周期，我们会争取时间处理的，请您放心的呢~
不能重新送一个吗？,那要确保没有问题了才寄过来给我吧，主板已经两次返修了，这个很浪费时间，希望能有个明确的答复，谢谢[SEP]希望你能帮我跟进一下，谢谢你,换货处理周期，自接收到问题商品之日起确认问题后[数字x]日之内为您处理完成，这是一个大概周期，我们会争取时间处理的，请您放心的呢~
不能重新送一个吗？,好吧，谢谢了，第一次前五分钟强东西，没经验，呵呵[SEP]多一百店铺有送的东西，也还可以[SEP]不好意思，还有个问题，如果活动中写的订单完成后与店铺客服联系赠品，一般是怎么操作,您好，非常抱歉这个不支持的哦
您好[SEP]我的地址留错了[SEP]能帮我改一下吗,(눈_눈),您好，请问您的问题是否完全帮您了解决呢?如果您还有问题可以随时提问哦，我一直都在，随时为您解答。
您好[SEP]我的地址留错了[SEP]能帮我改一下吗,🤘 ,  
您好[SEP]我的地址留错了[SEP]能帮我改一下吗,🤘 ,  
您好[SEP]我的地址留错了[SEP]能帮我改一下吗,惆怅,感谢您对京东的支持，祝您生活愉快，再见![SEP]还辛苦您给小妹打个评价呢~点击表情栏旁边的“+”哦。
帮我改一下吧,算了，还是看了明天要换的再说吧[SEP]你们不用做任何处理了谢谢,亲，这个订单是换货的订单吗?[订单x]
帮我改一下吧,这次入仓有好几千条东西[SEP]都在等你们处理好就可以了呢,给您在跟进的哦，有结果会及时告知您的呢
帮我改一下吧,这次入仓有好几千条东西[SEP]都在等你们处理好就可以了呢,给您在跟进的哦，有结果会及时告知您的呢
帮我改一下吧,我又约了个医生，是之前买药开过处方的医生，应该没有问题吧?[SEP]能不能帮我催一下，谢谢[SEP]真的是着急买药,不客气哟 [SEP]给您带来不便，真的是抱歉呢 [SEP]请问小妹这边还有其他可以帮到您的吗?
什么时候能送货？,我们单位经常京东上面买东西，但单位报销，有很多类目是不方便走账的，发票不能像之前一样京东后台选电脑配件或办公器材，实在很不方面很不灵活很不人性化!!![SEP]方便还请反馈给[姓名x]领导,嗯，这个是系统开具的，我们这边无法修改的[SEP]后期反馈，争取改进[SEP] [SEP]请问还有其他还可以帮到您的吗?
什么时候能送货？,我们单位经常京东上面买东西，但单位报销，有很多类目是不方便走账的，发票不能像之前一样京东后台选电脑配件或办公器材，实在很不方面很不灵活很不人性化!!![SEP]方便还请反馈给[姓名x]领导,嗯，这个是系统开具的，我们这边无法修改的[SEP]后期反馈，争取改进[SEP] [SEP]请问还有其他还可以帮到您的吗?
什么时候能送货？,外面的右边的侧门上的保护膜有点坏了[SEP]通往威冻室的那根电源线很长没有包塑料外管套，一截的金属丝露在外面，主要这个问题[SEP]之前送的三个没看到这样的出现[SEP]你们里面决定怎么解决这事，看会不会影响后面的使用功能,那您现在是想怎么处理呢
什么时候能送货？,就是相比屏幕其他部分，非常容易粘上手印，然后不管怎么清洁都无法改变。[SEP]你们京东页面太复杂!我好几天前就想申诉，但到现在才联系到您这样的客服![SEP]我先看看,好的呢
换货[SEP]S太小了,他们就说用手机扫码但是实际上显示开通会员需要收费并没有兑现承诺购机赠送一年的芒果电视会员请您帮忙处理谢谢[SEP]没有给我会员之类的东西,亲，您留一个您的联系方式呢[SEP]我为您升级专员，专员[数字x]H内回电您
换货[SEP]S太小了,我购买的这台电脑，现在情况是一进入系统几分钟就黑屏[SEP]因为我是办公用的电脑，所以我希望您们能派工程师上门(重装系统或者其他)，如果还是不能解决再让你们拿回去维修,您好
换货[SEP]S太小了,我购买的这台电脑，现在情况是一进入系统几分钟就黑屏[SEP]因为我是办公用的电脑，所以我希望您们能派工程师上门(重装系统或者其他)，如果还是不能解决再让你们拿回去维修,您好
换货[SEP]S太小了,这个选择网点是不是一定要在那个网点投放快递?还是说在附近的就可以[SEP]你们有没有专门负责无界电子面单的?或者物流,您好，可以选择就近的
[数字x]斤应该穿多大,站点装箱一直没有进展，这是什么情况?[SEP]给你们反应好几次了，手机等着急用呢，可是进度太慢了?,您好，这边查询到商品已经送达售后[SEP]会在[数字x]-[数字x]天处理商品换新哦
[数字x]斤应该穿多大,问下哈这款我开店的话，能否保存视频呢，还有就是能否通过手机在异地观看呢[SEP]问下哈这款我开店的话，能否保存视频呢，还有就是能否通过手机在异地观看呢,可以打摄像机保持联网就可以远程查看哒[SEP]您可以安装存储卡来存放视频哒
[数字x]斤应该穿多大,问下哈这款我开店的话，能否保存视频呢，还有就是能否通过手机在异地观看呢[SEP]问下哈这款我开店的话，能否保存视频呢，还有就是能否通过手机在异地观看呢,可以打摄像机保持联网就可以远程查看哒[SEP]您可以安装存储卡来存放视频哒
[数字x]斤应该穿多大,你好我想让你帮我看下我们店铺的链接上架之后被系统下架了显示违反网信办规定:广告宣传中禁止含有淫秽、色情、赌博、迷信、恐怖、暴力的内容;[SEP]但是我们好像并没有这些啊,商品编码提供一下[SEP]这边为您查看
[数字x],他在我们店铺下的这个订单，数量比较多，因为之前有遇到过这样的打假人，所以比较担心[SEP]钻石会员我知道啊[SEP]我有联系顾客，他的地址是公司地址，我问他要不要发票，他说要，但是现在还没有给我发票抬头等信息[SEP]主要就是担心打假[SEP]特别揪心,我们是可以帮您查看顾客等级哦[SEP]钻石用户
[数字x],他在我们店铺下的这个订单，数量比较多，因为之前有遇到过这样的打假人，所以比较担心[SEP]钻石会员我知道啊[SEP]我有联系顾客，他的地址是公司地址，我问他要不要发票，他说要，但是现在还没有给我发票抬头等信息[SEP]主要就是担心打假[SEP]特别揪心,我们是可以帮您查看顾客等级哦[SEP]钻石用户
[数字x],单位办公室用的[SEP]没有了，只是问一下发票的问题，因为经常是收到宝贝很久以后也没收到发票,感谢您对京东的支持，祝您生活愉快，再见!  
[数字x],单位办公室用的[SEP]没有了，只是问一下发票的问题，因为经常是收到宝贝很久以后也没收到发票,感谢您对京东的支持，祝您生活愉快，再见!  
衣服连同那个单子一起退回就可以了对吧？[SEP]NULL,你们要电话确认还是你直接处理?描述里有写，[姓名x]巧克力糖大多被压碎了，塑料袋包装未保护好。无法吃了。物品的全部[数字x]包已退给京东快递员了。[SEP]你备注也可以的,抱歉哦，这边刚才没有看到哦[SEP]  ‘
衣服连同那个单子一起退回就可以了对吧？[SEP]NULL,说实话，我现在很怀疑京东的配送了，原来在攀枝花[地址x]，到成都[地址x]，短短几个月就出了好多问题!再也不值得信赖了[SEP]感谢你们客服!你们还是一如既往地给力，谢谢!,亲爱的，小妹正在飞奔帮你查询，请您稍等 [SEP]亲爱哒，小妹这边向站点反馈这个事情的[SEP]给您带来不便，还请您见谅~
衣服连同那个单子一起退回就可以了对吧？[SEP]NULL,说实话，我现在很怀疑京东的配送了，原来在攀枝花[地址x]，到成都[地址x]，短短几个月就出了好多问题!再也不值得信赖了[SEP]感谢你们客服!你们还是一如既往地给力，谢谢!,亲爱的，小妹正在飞奔帮你查询，请您稍等 [SEP]亲爱哒，小妹这边向站点反馈这个事情的[SEP]给您带来不便，还请您见谅~
衣服连同那个单子一起退回就可以了对吧？[SEP]NULL,好吧，谢谢了，第一次前五分钟强东西，没经验，呵呵[SEP]多一百店铺有送的东西，也还可以[SEP]不好意思，还有个问题，如果活动中写的订单完成后与店铺客服联系赠品，一般是怎么操作,您好，非常抱歉这个不支持的哦
M码是多少斤以内穿的！[SEP]想要宽松一点的，拍m还是l,🤘 ,  
M码是多少斤以内穿的！[SEP]想要宽松一点的，拍m还是l,🤘 ,  
M码是多少斤以内穿的！[SEP]想要宽松一点的，拍m还是l,😨😨,没有的哦
M码是多少斤以内穿的！[SEP]想要宽松一点的，拍m还是l,惆怅,感谢您对京东的支持，祝您生活愉快，再见![SEP]还辛苦您给小妹打个评价呢~点击表情栏旁边的“+”哦。
换货换M，如果还不合适也可以换对吧,惆怅, [SEP]请问还有其他还可以帮到您的吗?
换货换M，如果还不合适也可以换对吧,惆怅,感谢您对京东的支持，祝您生活愉快，再见![SEP]还辛苦您给小妹打个评价呢~点击表情栏旁边的“+”哦。
换货换M，如果还不合适也可以换对吧,🤘 ,  
换货换M，如果还不合适也可以换对吧,🤘 ,  
那个快递费是怎么处理的,😨😨,没有的哦
那个快递费是怎么处理的,🤘 ,  
那个快递费是怎么处理的,🤘 ,  
那个快递费是怎么处理的,峨!,亲亲底座是吸盘呢如果有铁的话是可以吸住的呢  
那我发什么快递退回,😨😨,没有的哦
那我发什么快递退回,🌸🌸,  [SEP]还有什么需要帮助的麽，亲亲 
那我发什么快递退回,🤘 ,  
那我发什么快递退回,🤘 ,  
客服,谢谢[SEP]明天如果没情况我再咨询你们, [SEP]您客气了，小妹很高兴为您服务哦~~   [SEP]请问还有什么业务能为您效劳的呢 
客服,哦那就是招商银行那边的问题了是吧[SEP]谢谢,是的呦，辛苦耐心等待
客服,好的，我明天去银行看看[SEP]麻烦了客服,亲您可以咨询下银行是否收到  
客服,好的，我明天去银行看看[SEP]麻烦了客服,亲您可以咨询下银行是否收到  
人工服务[SEP]你好，平时内衣[数字x]c，这款买多大码合适？我买了M码，号码小穿不了,🤘 ,  
人工服务[SEP]你好，平时内衣[数字x]c，这款买多大码合适？我买了M码，号码小穿不了,🤘 ,  
人工服务[SEP]你好，平时内衣[数字x]c，这款买多大码合适？我买了M码，号码小穿不了,🍷🍷,   
人工服务[SEP]你好，平时内衣[数字x]c，这款买多大码合适？我买了M码，号码小穿不了,峨!,亲亲底座是吸盘呢如果有铁的话是可以吸住的呢  
[链接x][SEP]你好，平时内衣[数字x]c，这款买多大码合适？我买了M码，号码小穿不了,谔谔,  
[链接x][SEP]你好，平时内衣[数字x]c，这款买多大码合适？我买了M码，号码小穿不了,说实话，我现在很怀疑京东的配送了，原来在攀枝花[地址x]，到成都[地址x]，短短几个月就出了好多问题!再也不值得信赖了[SEP]感谢你们客服!你们还是一如既往地给力，谢谢!,亲爱的，小妹正在飞奔帮你查询，请您稍等 [SEP]亲爱哒，小妹这边向站点反馈这个事情的[SEP]给您带来不便，还请您见谅~
[链接x][SEP]你好，平时内衣[数字x]c，这款买多大码合适？我买了M码，号码小穿不了,说实话，我现在很怀疑京东的配送了，原来在攀枝花[地址x]，到成都[地址x]，短短几个月就出了好多问题!再也不值得信赖了[SEP]感谢你们客服!你们还是一如既往地给力，谢谢!,亲爱的，小妹正在飞奔帮你查询，请您稍等 [SEP]亲爱哒，小妹这边向站点反馈这个事情的[SEP]给您带来不便，还请您见谅~
[链接x][SEP]你好，平时内衣[数字x]c，这款买多大码合适？我买了M码，号码小穿不了,好吧，谢谢了，第一次前五分钟强东西，没经验，呵呵[SEP]多一百店铺有送的东西，也还可以[SEP]不好意思，还有个问题，如果活动中写的订单完成后与店铺客服联系赠品，一般是怎么操作,您好，非常抱歉这个不支持的哦
好的，多谢，可以换货吧？,说实话，我现在很怀疑京东的配送了，原来在攀枝花[地址x]，到成都[地址x]，短短几个月就出了好多问题!再也不值得信赖了[SEP]感谢你们客服!你们还是一如既往地给力，谢谢!,亲爱的，小妹正在飞奔帮你查询，请您稍等 [SEP]亲爱哒，小妹这边向站点反馈这个事情的[SEP]给您带来不便，还请您见谅~
好的，多谢，可以换货吧？,说实话，我现在很怀疑京东的配送了，原来在攀枝花[地址x]，到成都[地址x]，短短几个月就出了好多问题!再也不值得信赖了[SEP]感谢你们客服!你们还是一如既往地给力，谢谢!,亲爱的，小妹正在飞奔帮你查询，请您稍等 [SEP]亲爱哒，小妹这边向站点反馈这个事情的[SEP]给您带来不便，还请您见谅~
好的，多谢，可以换货吧？,没事儿了。祝你们幸福。如果哪天[姓名x]东又跑去装客服，请转告他别跟了[姓名x]之后就不学好，搞什么霸王条款。[姓名x]暂时没对手，但京东可不一样，天猫不比京东差。,请问您是咨询之前的问题还是有其他的问题需要处理呢?
好的，多谢，可以换货吧？,当时我手上有茅台真酒，和平[地址x]。只是想告诉京东，这么大的企业不要赚这种昧心钱、如果不是京东的问题，一定要查出根源，给社会一个交代，恢复大家的信任。[SEP]我现在就天天关注这个事情的进展!, [SEP]谢谢亲亲的反馈和意见呢，要是京东出现让客户不舒心的地方，妹子再次致歉您呢[SEP]咱们也在改善哈[SEP]亲亲
NULL[SEP]啥时候开发票？,豆浆机的选择打不开。只能选择五谷和快速豆浆。其他没有。而且有时突然所有灯都亮了。,很抱歉给您带来了不便，在这里我代表京东真诚的向您道歉，还请您谅解， [SEP]这边可以帮您申请售后服务单[SEP]天津[地址x][SEP][数字x][SEP]地址电话需要更改吗?
NULL[SEP]啥时候开发票？,豆浆机的选择打不开。只能选择五谷和快速豆浆。其他没有。而且有时突然所有灯都亮了。,很抱歉给您带来了不便，在这里我代表京东真诚的向您道歉，还请您谅解， [SEP]这边可以帮您申请售后服务单[SEP]天津[地址x][SEP][数字x][SEP]地址电话需要更改吗?
NULL[SEP]啥时候开发票？,好，希望大家相互理解。我买一个新手机没怎么用就坏了，也并不能说你们的产品有问题，生产总会有次品。但整个流程耽误了我时间，耗费精力，只希望有一个好的解决。[SEP]毕竟大家都很忙，遇到这种事算我倒霉，只是希望你们大公司能好好解决。,昨天告知了您售后收到你的手机[数字x]天内为处理[SEP]昨天才收到[SEP]还请你耐心等待下[SEP]已经把你的手机返厂了
NULL[SEP]啥时候开发票？,好的，以前一直都用海飞丝，所以它除了无硅油洗发水还是首选它，希望京东更让大家满意,您放心，京东商城销售的都是正品真品!保证质量，请您放心购买使用呦~
我买了一根数据线，目前还没出库[SEP]我发现买错了,你们要电话确认还是你直接处理?描述里有写，[姓名x]巧克力糖大多被压碎了，塑料袋包装未保护好。无法吃了。物品的全部[数字x]包已退给京东快递员了。[SEP]你备注也可以的,抱歉哦，这边刚才没有看到哦[SEP]  ‘
我买了一根数据线，目前还没出库[SEP]我发现买错了,所以你把用户协议中的条款拿出来给我看是么?[SEP]那么我请问，物品最终成交价格，是否要基于对物品外观的观察、检测，见都没见到，直接报价[数字x]，这样合适么,亲小妹在帮您咨询，请您稍等一会
我买了一根数据线，目前还没出库[SEP]我发现买错了,好吧，谢谢了，第一次前五分钟强东西，没经验，呵呵[SEP]多一百店铺有送的东西，也还可以[SEP]不好意思，还有个问题，如果活动中写的订单完成后与店铺客服联系赠品，一般是怎么操作,您好，非常抱歉这个不支持的哦
我买了一根数据线，目前还没出库[SEP]我发现买错了,这个我也看到了，但是没有印次，所以比较担心[SEP]不知道京东是如何描述印次和版次的，只有版次或许代表不了就是首版首印[SEP]也算提个建议，希望这两项数据都能提供，否则有些对于收藏爱好者和读者是不方便的。希望帮我询问一下，我已经下单了,出版时间:[日期x][SEP]版次:[数字x]
我现在能换货吗[SEP]还是说收到后再申请换货,感谢你们，要不真拿他们一点辙没有，非告诉我果子长[姓名x]了是水分流失，正常的，可以吃。崩溃。[SEP]是的，让我重新再申请一遍。,真的很抱歉，亲爱的，给您带来不愉快的购物体验[SEP]商家这边给您协商处理了吗
我现在能换货吗[SEP]还是说收到后再申请换货,感谢你们，要不真拿他们一点辙没有，非告诉我果子长[姓名x]了是水分流失，正常的，可以吃。崩溃。[SEP]是的，让我重新再申请一遍。,真的很抱歉，亲爱的，给您带来不愉快的购物体验[SEP]商家这边给您协商处理了吗
我现在能换货吗[SEP]还是说收到后再申请换货,没有了，配送员服务态度很好，只是装商品的箱子好臭。[SEP]希望不要给快递小哥带来麻烦[SEP]因为天气好热，他还给我送到家里了，实在抱歉,亲亲这边我们是为您服务给您添麻烦我们很抱歉
